"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date","GOOD","BAD"
0,"SO",30,1.09,"P",1.07,950,14,1,35.98,24,11,37,682,0.0527717074,78.921875,1.07,0,0,"3",2.79,70,"05JUL2005","0","1"
1,"SL",22,0,"P",1.265,1500,19,1,29.01,19,6,93,0,0.1978847003,49.640625,1.05,0,0,"3",2.07,106,"06JUL2005","1","0"
0,"SD",21,0,"R",1.35,2174.5,11,1.73,635,10.59,3.49,18.72,785.2,0.0710863429,29.73828125,1,0,292.86,"5",2,94,"06JUL2005","0","1"
1,"SD",29,1,"H",1.33,100,83,2,122.47,12.9,0,22.77,570.85,0.3677603146,63.859375,1.21,0,0,"3",1.55,111,"06JUL2005","0","1"
0,"SO",18,0.55,"P",1.01,178.25,15.46,1,37.5,12,0,8,62.8,0,64.421875,1.11,0,-4.66684468847234e-13,"5",2.58,114,"06JUL2005","1","0"
0,"SA",23,0,"R",1.03,784.5,20,1.13,47.8,6.51,1.17,8.53,472.53,0.1037878948,53.7265625,1.05,0,3.86999999999967,"5",2.98,115,"06JUL2005","0","1"
0,"SA",21,4,"P",1.23,950,11,2,35.92,13,3.11,44,1116,0.0387659803,47.0859375,2,1,1320,"3",1,116,"06JUL2005","0","1"
960,"SM",46,1.02,"R",1,950,3,3,57.28,5.83,0,2,805,0,43.2265625,2,0,0,"3",1,96,"06JUL2005","1","0"
1,"SL",22,4,"R",1.1,350,16,1.18,14.145,14.04,2,20.66,0,0.0875395227,48.28125,1.05,0,93.4799999999998,"5",2.54,92,"06JUL2005","1","0"
0,"SB",19,1,"R",1.05,412,6.37,1.05,67.49,6,0.5725,13.94,261.97,0.2540849233,71.3125,1.09,0,18.0499999999996,"5",2.19,91,"06JUL2005","0","1"
0,"SO",18,0.7,"P",1.06,438.5,9.6,1.05,4.62,26,0.35,4,70.98,0.0270535915,50.9765625,1.04,0,-4.63842297904193e-13,"5",3.06,110,"06JUL2005","1","0"
0,"SO",28,1,"R",1.2,655,22.43,1.07,39.98,6.14,1.36,10.14,442.67,0.3383732364,65.84375,1,0,160.88,"5",1,117,"06JUL2005","0","1"
1,"SL",19,1,"P",1.33,500,10,2,44,9,0,22,0,0.0994428329,68.78125,2,2,1150,"3",0,119,"06JUL2005","1","0"
0,"SO",20,1,"P",1.13,237.5,15.43,1.1,48.5,2,1.14,15,196.38,0,9.8125,1,0,76.41,"5",1,147,"07JUL2005","1","0"
0,"FT",22,0.92,"R",1.03,804,23.2844444444444,1.08,46.4,3.89,1.44,7.63,501.39,0.0967883989,50.6114453125,1.03,0,15.6799999999997,"5",2.62,128,"07JUL2005","1","0"
0,"SO",19,1,"P",1.15,4261.83333333333,36.91,1.38,101.62,16,26,4,1272.44,0,17.1328125,1.05,0,66.1699999999999,"5",2.33,129,"07JUL2005","0","1"
1,"SC",19,1,"P",1.09,3583.5,24.55,1.24,160.64,11.31,10,10,1040.92,0.3780874815,28.35546875,1.02,0,69.3049999999999,"5",4,140,"07JUL2005","0","1"
0,"SB",22,3,"P",1,3450,2,2,25,1,2,11,1073.1,0.1119794536,53.484375,1,2,3809,"3",1,141,"07JUL2005","0","1"
1,"SO",29,1.01,"R",1.03,1210.5,19.354,1.03,33.36,3.74,1.08,6.33,517.745,0.2099019224,60.078125,1.06,0,8.79999999999974,"5",3.14,135,"07JUL2005","1","0"
1,"SD",18,0.43,"P",1.04,395,15.0677272727273,1.05,23.95,15,2,53,96.48,0.0246184738,55.578125,1.03,0,2.50999999999952,"5",2.93,131,"07JUL2005","1","0"
0,"SO",23,1,"P",1.03,611,17.52,1.14,14.39,12.09,2.2,13,198.78,0.0325951611,40.953125,1.07,0,6.12999999999966,"5",3.24,143,"07JUL2005","0","1"
0,"SA",19,0,"P",1.35,150,9,2,60.4716666666667,7,3,23,319.15,0.0982507756,83.9375,1,1,0,"3",1,151,"07JUL2005","1","0"
1,"SB",20,0.71,"P",1.06,2877,28.05,1.29,86.97,15,15,7,887.42,0.0650839009,64.1875,1.02,0,268.305,"5",2.56,162,"08JUL2005","1","0"
0,"SC",36,1,"H",1.23,4700,17,1.46,23.92,12.24,1,26.29,124,0.0278516425,80.25,1.09,0,145.85,"5",1.85,180,"08JUL2005","1","0"
0,"SA",30,0,"R",1.07,1251,21.89,1.17,45.59,4.3,0.79,9.28,803.28,0,48.7418229166667,1.04,0,447.85,"5",2.16,160,"08JUL2005","0","1"
2,"SC",20,1,"P",1,750,2,1,271,1,0,13,0,0.2038313127,72.171875,1,0,0,"3",0,191,"08JUL2005","0","1"
1,"SK",18,0,"P",1.29,528.5,33,1,46.205,27,0,10,318.03,0,46.4296875,1.08,0,0,"3",1.57,179,"08JUL2005","1","0"
0,"SO",18,0.66,"P",1,100,4,1,45.01,7.91,0.186666666666667,12.7075,124,0.0924624477,27.51953125,1,0,0,"3",1,188,"08JUL2005","1","0"
1,"SM",21,3,"H",1,2176,3,1,161,9,4.37,21,958.0025,0.2453958509,59.578125,1,0,785.27,"5",2,166,"08JUL2005","0","1"
0,"SO",20,2,"P",1,497,5,1,1,0,0,9,105.21,0.0005284478,55.4453125,1.07,0,0,"3",2.57,175,"08JUL2005","1","0"
0,"SO",17,0,"P",1.01,440.5,28.51,1.04,31.7,4,0.49,2,196.08,0.2380429762,56.40625,1.08,0,0.189999999999575,"5",2.85,174,"08JUL2005","1","0"
160,"SB",18,0.61,"P",1.16,318.416666666667,19.16,1.02,50.02,21,0,32,246.33,0,76.9375,1.06,0,5.8199999999996,"5",1.99,186,"08JUL2005","1","0"
0,"SA",30,0,"R",1.07,1251,21.89,1.17,45.59,4.3,0.79,9.28,803.28,0,48.7418229166667,1.04,0,447.85,"5",2.16,161,"08JUL2005","0","1"
100,"SN",26,0,"P",1.06,500,22,1,0,10,6,5,369.92,0.0897657545,50.25,1.06,0,0,"3",3,176,"08JUL2005","1","0"
0,"SL",22,5,"P",1,700,1,1,1,23,4.59,33,1,0.1289645131,61.296875,2,1,275,"3",1,167,"08JUL2005","1","0"
0,"SO",24,1,"P",1.13,364,20.97,1.1,55.375,7.93,1.45,12.15,274.18,0,44.265625,1,0,50.46,"5",0.31,157,"08JUL2005","1","0"
0,"SO",18,0.77,"P",1.01,258.125,39,1,29.9033333333333,19,0.26,24,98.7866666666667,0.0531248706,74.8125,1.01,0,0,"3",2.365,158,"08JUL2005","1","0"
0,"SC",18,0,"P",1.11,605,7,1,5.89,23,0.47,76,58.61,0.1067583885,67.328125,1.08,0,3.37999999999953,"5",3.04,194,"08JUL2005","1","0"
0,"SC",20,2,"P",1,6000,6,2,30,14,2,29,1378.66,0.1214747704,64.234375,2,1,1950,"3",0,213,"09JUL2005","1","0"
0,"SC",18,0,"P",1.02,150,7,1,28.135,1,1,11,1,0,53.1015625,1.02,0,0,"3",2.56666666666667,208,"09JUL2005","1","0"
0,"SC",20,1,"R",1.04,384.5,15.18,1.04,36.73,8.72,1.03,13.31,180.86,0.2206156091,37.4609375,1.03,0,21.8399999999996,"5",2.39,210,"09JUL2005","1","0"
1,"SD",23,1.03,"R",1.13,434,22.71,1.06,53.95,5.41,1.16,8.72,394.16,0,28.2265625,1.06,0,36.1299999999998,"5",1.57,219,"09JUL2005","1","0"
